"zips_for_G","total.wc","gwbr.consumption","gwfr.consumption","gwsa.consumption","pdfr.consumption","swbr.consumption","swfr.consumption","swsa.consumption","Generation","total.wci","gwbr.wci","gwfr.wci","gwsa.wci","pdfr.wci","swbr.wci","swfr.wci","swsa.wci"
"AKGD",2917343.42724437,0,0,0,0,0,0,0,4780657.511,0.610238951552531,0,0,0,0,0,0,0
"AKMS",0,0,0,0,0,0,0,0,1087544.12,0,0,0,0,0,0,0,0
"AZNM",186877278.307184,897906.784216344,44171526.493879,0,85564218.8574111,0,38510500.3131596,0,149232739.475,1.25225388855433,0.00601682169325026,0.295990857296289,0,0.573360906986132,0,0.258056646608776,0
"CAMX",108485251.159181,0,8806486.21239193,0,20242288.0282543,166343.159002468,15802494.67771,10206995.8659322,184670364.892,0.587453494352632,0,0.0476875984814466,0,0.109613082965924,0.000900757190249501,0.0855713621779633,0.0552714338973743
"ERCT",310936716.995832,0,12694852.9586595,0,33962025.7574232,930859.95109247,243451392.437033,4446852.64524627,319089346.345,0.9744503242037,0,0.0397846343166024,0,0.106434220215874,0.00291723920511599,0.762956818288171,0.0139360736927842
"FRCC",214597371.904071,0,6454391.40889812,1529996.79856306,49319763.9884443,7178439.80436988,36103973.8881353,71450500.7303745,218852490.382,0.980557139329319,0,0.0294919714993062,0.0069909956057274,0.225356192668213,0.032800356952028,0.164969445059167,0.326477896621875
"HIMS",1364615.91489153,0,0,0,0,0,0,0,2847999.35,0.479148955877232,0,0,0,0,0,0,0
"HIOA",6686413.58735359,2718587.16063622,0,0,0,0,0,2838187.10537074,7356158.942,0.908954474756861,0.369566125755446,0,0,0,0,0,0.385824603267625
"MROE",35923891.4823061,0,1505993.40581137,0,0,0,31089782.9281376,0,34993671.197,1.02658252916847,0,0.0430361649491774,0,0,0,0.888440162597257,0
"MROW",206883485.982184,0,33832498.3014588,0,2950918.72881954,0,139811879.075901,0,208664904.484,0.99146277853374,0,0.162137942578902,0,0.0141419024733304,0,0.670030637982162,0
"NEWE",86833438.7283803,0,0,0,5820668.33888149,13208107.3209878,7428819.03351615,30504556.5037804,110725229.27,0.784224510537158,0,0,0,0.052568582402191,0.119287242917152,0.0670923788778184,0.275497794900889
"NWPP",244336803.010834,0,30182715.3303019,0,2718237.79961541,0,194944013.842566,0,333447946.463,0.732758457812084,0,0.0905170226731355,0,0.00815191045093758,0,0.584631022354182,0
"NYCW",35658809.9151184,0,0,0,0,29029218.0309041,1749001.11339582,1394838.05490362,41354107.55,0.862279759562081,0,0,0,0,0.701966981050328,0.0422932863750271,0.0337291296449129
"NYLI",7196797.87853251,0,0,0,0,0,0,5131741.89358448,11295155.214,0.637157944462091,0,0,0,0,0,0,0.454331241701207
"NYUP",63524953.8361015,0,0,0,1936319.69928683,2153034.65522463,56083984.8202421,0,84173696.202,0.754688895728831,0,0,0,0.0230038573408972,0.0255784734705932,0.666288726179396,0
"RFCE",335929635.117777,0,4379369.57641991,0,2056841.64483745,66068008.0388137,173935595.960487,8272701.63174371,270961659.116,1.23976815101344,0,0.0161623219709659,0,0.00759089552207424,0.243827884189806,0.641919585700591,0.0305308937756472
"RFCM",85237459.4853166,0,1517438.45297761,0,471708.773072089,0,54993739.0399172,0,84672448.457,1.00667290291722,0,0.0179212775894655,0,0.0055709830253892,0,0.64948799806876,0
"RFCW",648636195.674002,0,3734988.15945671,0,3628222.00222583,0,473546535.701064,0,516570548.478,1.25565849153637,0,0.00723035444134652,0,0.00702367181581656,0,0.916712222747309,0
"RMPA",83744426.0245777,0,2981782.2648161,0,5187697.73977081,0,59602316.5335804,0,84878731.633,0.986636162126847,0,0.0351299107261496,0,0.0611189356858142,0,0.70220555122442,0
"SPNO",58744109.6155548,0,4720567.49622972,0,921257.70709992,0,39042421.9970756,0,58800557.172,0.999040016639976,0,0.0802809994201482,0,0.0156674996191806,0,0.663980476968457,0
"SPSO",162278218.596594,0,6764462.44870767,0,5689318.51975228,0,117675359.555911,0,168938111.399,0.960577913726784,0,0.0400410682509128,0,0.0336769392805344,0,0.696558985899776,0
"SRMV",255721411.017517,0,26405286.2872295,0,2304649.03721818,5332018.31879987,187502971.432455,147487.822327877,206570890.547,1.23793536611265,0,0.127826753408035,0,0.0111566979796401,0.0258120507912837,0.907693097202354,0.000713981635734488
"SRMW",227622459.700448,0,7399460.49667324,0,4405668.93349586,0,177839587.323051,0,192662169.866,1.18145902674491,0,0.0384064007055443,0,0.0228673274912251,0,0.923064384911382,0
"SRSO",289027792.60376,0,3220198.23124659,0,6362409.57406538,13997129.7278026,173783601.400372,0,258081971.271,1.11990694731739,0,0.0124774241896394,0,0.0246526696255916,0.0542352092975329,0.673365909848425,0
"SRTV",274612898.468373,687962.089093469,9602561.32397018,4566649.95942795,3166988.2197962,0,245324984.795475,0,235787014.321,1.16466506545825,0.00291772679286264,0.0407255732535689,0.0193676906787196,0.0134315633493059,0,1.04045163598997,0
"SRVC",347419649.764806,198944.547491786,6009843.57003992,0,6132286.84099823,24413472.5660119,220206886.403836,22984443.8094082,297001250.325,1.16975820601642,0.000669844141309461,0.020235078348874,0,0.0206473435188837,0.0821998982808891,0.741434206633372,0.0773883739016486
