"zips_for_G","total.consumption","Biomass","Biogas","Coal","Oil","Natural.Gas","Geothermal","Uranium","Other","Solar","Wind","Not.Reported","Generation"
"AKGD",3344404.78113691,0,0,431126.708826067,654808.07418084,2258469.99813001,0,0,0,0,0,0,4780657.511
"AKMS",0,0,0,0,0,0,0,0,0,0,0,0,1087544.12
"AZNM",186681304.816452,902567.716827849,0,61882433.4675893,97138.3185994391,35779524.2468127,2764558.39679253,82217858.910104,0,3037223.75972605,0,0,149232739.475
"CAMX",113221482.156291,7131037.5652819,1295480.29002987,636019.038550641,10310.5767520623,73795570.6783383,2664735.00521022,23340513.0521024,0,4347815.95002517,0,0,184670364.892
"ERCT",309121754.328898,107482.23825036,0,126609060.193783,95841.7510392196,116910746.555892,0,65398623.5899338,0,0,0,0,319089346.345
"FRCC",221135259.698444,8231830.30406296,130682.328934933,63367614.5236437,1010616.00504758,102894470.127852,0,44953983.1094893,0,546063.299413092,0,0,218852490.382
"HIMS",3817404.45983102,187869.661185588,0,35017.4820344321,3259139.87347601,0,335377.443134988,0,0,0,0,0,2847999.35
"HIOA",15201719.1571914,706339.674804052,0,2702265.61179837,11793113.870589,0,0,0,0,0,0,0,7356158.942
"MROE",37222156.6457142,1801248.05028409,2839.88684343869,20469840.3826976,81757.0299264985,1885171.80926442,0,12981299.4866981,0,0,0,0,34993671.197
"MROW",210590334.52815,4029646.03329859,39434.0685395491,138804650.899925,309723.611770294,4359214.37852611,0,63047665.5360901,0,0,0,0,208664904.484
"NEWE",104852189.082173,16109642.7146746,232727.086257611,7391439.29313478,4641470.41379041,25856786.8512409,0,50620122.7230744,0,0,0,0,110725229.27
"NWPP",258614995.286598,6172540.18556434,170760.111944707,189009367.427895,415710.41186224,26214846.2475016,12472512.115887,24159258.7859425,0,0,0,0,333447946.463
"NYCW",37451584.8398833,706788.399054801,0,0,1719590.12881588,11241850.9034152,0,23783355.4085974,0,0,0,0,41354107.55
"NYLI",9814446.82206897,1676861.83235247,0,0,1589390.66502274,6548194.32469376,0,0,0,0,0,0,11295155.214
"NYUP",66370676.3848367,2246900.2208794,0,3546095.17803552,1138552.28692263,15170329.367503,0,44268799.3314961,0,0,0,0,84173696.202
"RFCE",343937318.811873,6467188.53871791,493935.640477578,79687848.9570488,2648345.41959898,61078964.6125857,0,193561035.643444,0,0,0,0,270961659.116
"RFCM",85868141.4620986,2617059.89538583,141280.844837138,39140377.1944036,281580.369718666,9053901.51367292,0,34633941.6440804,0,0,0,0,84672448.457
"RFCW",650645684.454448,2823287.88199381,65179.9901118111,438315776.992751,1455213.96008875,46969338.2530965,0,161016887.376406,0,0,0,0,516570548.478
"RMPA",83795806.9988812,84794.8149025692,0,76280879.5928107,67146.7051467029,7362985.88602123,0,0,0,0,0,0,84878731.633
"SPNO",58829552.9255516,34681.9640189158,0,39691071.2147881,103531.352183471,2510188.23466529,0,16490080.1598958,0,0,0,0,58800557.172
"SPSO",166123543.826448,4039771.82876371,0,112792762.996502,164905.151957067,49126103.8492251,0,0,0,0,0,0,168938111.399
"SRMV",255990881.014044,6982164.89209654,0,86618360.6280302,153443.365387772,74468821.8521191,0,87768090.2764108,0,0,0,0,206570890.547
"SRMW",227286419.381898,70161.178785434,3709.51034709011,157644728.510141,354334.853766917,2366249.93676468,0,66847235.392093,0,0,0,0,192662169.866
"SRSO",302715214.645365,14443321.7827677,201343.769420414,145346974.705631,448860.688626429,77587947.9818867,0,64686765.7170329,0,0,0,0,258081971.271
"SRTV",277415323.822134,3616796.52787645,0,168411925.411406,697074.517449132,19659705.4577056,0,85029821.9076965,0,0,0,0,235787014.321
"SRVC",362339672.410708,15123213.3909011,0,116901493.012115,2334173.57012114,41802158.3544736,0,186178634.083097,0,0,0,0,297001250.325
