"zips_for_G","Dry.Cooling","Once.Through","Ponds","Recirculating","Hybrid","annual.hydro.generation.MWh","no.cooling"
"AKGD",0,0,0,0,0,547735,4232922.511
"AKMS",0,0,0,0,0,989906,97638.1200000001
"AZNM",16055417,0,-182,94908248.123,545740,8834698,28888818.352
"CAMX",15110196,11039535.51,0,54527146.6,0,15900622.46,88092864.322
"ERCT",6717891,33591621.92,80374075.031,131758006.626,0,301622,66346129.768
"FRCC",0,70097306.366,43651786.942,49659367.383,0,211388,55232641.691
"HIMS",0,0,0,0,0,94083.09,2753916.26
"HIOA",0,3675341,0,1466958.824,0,0,2213859.118
"MROE",0,17344020.6845,4939935.042,4720130.1195,0,1072577.02,6917008.331
"MROW",358799,68313536.929,9092679.011,50519178.402,0,11737530.26,66566946.882
"NEWE",15603627.68,29169411.457,1150061.969,21672211.639,0,6809606.06,36320310.465
"NWPP",7618244.66666667,3172232.9825,16812779.1873333,115054900.9915,1005123,135662683,54121982.635
"NYCW",7987363.99,23183464.512,0,0,3193272.6,0,6990006.448
"NYLI",2397267.35,4386647.933,0,0,0,0,4511239.931
"NYUP",2658650,24101348.922,0,19104627.5,2725009.8,25590268.24,9993791.74
"RFCE",9756205.66,56298987.195,242354.63,112038068.705,0,3142052,89483990.926
"RFCM",0,21525006.772,3362490.054,17421121.298,0,-111320,42475150.333
"RFCW",3535119.003,87936012.153,34042352.158,205469581.614,0,3705785.02,181881698.53
"RMPA",8541786.962,0,12087397.017,31380679.102,0,2154207.92,30714660.632
"SPNO",0,6663524.337,20113437.827,4144893.537,0,16214,27862487.471
"SPSO",2933475.3915,17752359.0175,19671855.878,60131482.063,0,3372636,65076303.049
"SRMV",0,34543866.0805,1821816,99698736.6025,0,2292683,68213788.864
"SRMW",0,69758090.9155,41122450.6515,37361140.615,0,1174126,43246361.684
"SRSO",0,27216813.8555,3595798.9,129804983.0915,0,6866277,90598098.424
"SRTV",2868988,107524118.8105,0,87735741.6655,0,18708025,18950140.845
"SRVC",4199488.96,115405852.717667,26362299.4856667,74925358.2306667,0,3727525.36,72380725.571
