"zips_for_G","Biomass","Biogas","Coal","Oil","Natural.Gas","Geothermal","Uranium","Solar","Wind","annual.hydro.generation.MWh"
"AKGD",0,56165.769,558292.181,336898.29,3157474.271,0,0,0,124092,547735
"AKMS",0,0,0,30368.075,130548.045,0,0,0,27865,989906
"AZNM",496369.325,75232.428,39820423.35,48328.175,53850531.547,3879927,32320917,7901464.65,1855391,8834698
"CAMX",3921731.563,2439686.906,804759.578,484314.607,119572869.108,8230537,16985978,6474140.81,12078899.24,15900622.46
"ERCT",59110.12,589705.408,87658482.1,437837.441,157056721.256,0,39287443,256171.31,33515784.71,301622
"FRCC",4527115.224,251104.044,47398122.77,2182885.45,136398380.204,0,27868270,206733.69,0,211388
"HIMS",103319.38,0,45346.266,1731290.514,0,253841,0,15095.75,394320,94083.09
"HIOA",425026.233,0,1465837.6,5194628.15,62203.959,0,0,24166,184297,0
"MROE",1462037.995,166505.384,18913103.739,292827.906,2366922.153,0,9447096,0,1011889,1072577.02
"MROW",2270044.699,399551.539,108619569.191,303537.978,6532768.087,0,42347976,2653,37016817.55,11737530.26
"NEWE",8956219.441,517926.793,5009939.498,2142277.877,47827295.151,0,36838620,331533.27,2040920,6809606.06
"NWPP",3460837.583,738390.875,112993459.288,594722.62,41413704.147,3512636,9497321,72699.05,22928707.08,135662683
"NYCW",388700.01,0,0,836763.494,22820389.046,0,17308255,0,0,0
"NYLI",922194.269,1946,0,816819.411,9487500.534,0,0,66695,0,0
"NYUP",1235688.276,760698,4592054.193,482566.186,21804626.157,0,25730369,3715,3968407.15,25590268.24
"RFCE",3556646.166,1608546.807,63224626.941,1964585.9,83480211.702,0,109807808,655996.6,3293116,3142052
"RFCM",1439474.42,841898.044,51607081.902,1041483.702,12473439.389,0,13615056,0,3773040,-111320
"RFCW",1552674.081,1713768.917,337022920.731,3282393.645,54864653.914,0,103317524,263803.17,11610085,3705785.02
"RMPA",46633.116,79073.687,60202986.363,75461.139,12091532.258,0,0,258215,9691695,2154207.92
"SPNO",19073.431,81391.18,38358738.006,61796.135,2821583.42,0,8558384,0,8784500,16214
"SPSO",2221682.405,47782,85354529.818,3311464.643,54676497.173,0,0,117168,21718297.36,3372636
"SRMV",3839858.672,83878.71,54780288.697,2403619.235,99686441.163,0,42041772,5794,0,2292683
"SRMW",38585.312,169268.754,142861755.299,162092.745,3638479.756,0,37102766,8707,7134957,1174126
"SRSO",8303527.065,498087.697,98214303.377,475606.695,97012737.777,0,47075571,139770.66,0,6866277
"SRTV",1994523.34,199329.14,130890360.728,1366059.019,29501676.094,0,54408306,22191,51140,18708025
"SRVC",8317048.22,1253326.525,94535210.656,1731997.499,60842725.435,0,123606550,728309.63,0,3727525.36
