"zips_for_G","gwbr.consumption","gwfr.consumption","gwnro.consumption","gwsa.consumption","pdbr.consumption","pdfr.consumption","pdnro.consumption","pdsa.consumption","swbr.consumption","swnro.consumption","swsa.consumption","total.consumption","swfr.withhydro","Generation","total.wci","gwbr.wci","gwfr.wci","gwnro.wci","gwsa.wci","pdbr.wci","pdfr.wci","pdnro.wci","pdsa.wci","swbr.wci","swfr.wci","swnro.wci","swsa.wci"
"AKGD",62883.0423067557,455050.765332785,366818.861016579,89720.5166703749,775.748680494948,7334.70693687457,4274.15679383019,631.075628222958,19261.5054219325,110001.567408363,23014.4767878708,1293215.3688291,153448.945845013,4780657.511,0.270509938403554,0.0131536388377677,0.0951858116348518,0.0767297929568372,0.0187674010246359,0.000162268198194495,0.0015342464755105,0.000894052080492195,0.000132006031967547,0.00402904943046286,0.032097874715337,0.0230097151187375,0.00481408189875889
"AKMS",28864.7850835326,97580.3567722823,180986.785978576,65076.45803925,111.949392679534,641.465449226779,668.979061731611,189.931664430037,6548.90962413217,40753.1792668322,14178.1552049645,460368.030127438,24767.0745898003,1087544.12,0.42330975052988,0.0265412543295554,0.0897254235279046,0.16641787919241,0.0598379935512409,0.000102937794081893,0.000589829357200496,0.000615128204391019,0.000174642721097179,0.00602174155852378,0.0227733975425294,0.0374726675611397,0.0130368551898055
"AZNM",489311.97371993,92684948.3288299,2659492.95242892,328932.171036917,9808.96190639214,110184.757852071,53238.4498619309,6451.96603014345,185306.44028074,1006468.26233708,123236.297763107,828146046.478871,730488665.916824,149232739.475,5.54935900387733,0.00327885137967263,0.621076505429674,0.0178211092404053,0.0022041555505454,6.57292893027362e-05,0.000738341722062469,0.000356747789052346,4.32342531058629e-05,0.00124172779332904,4.89496251617895,0.00674428591124062,0.000825799339988339
"CAMX",1215203.43821777,181470451.827379,6641485.7268673,886353.176307688,23650.8320619267,261738.223059197,128458.959014826,15733.4723439595,453543.333022961,2471245.15263568,316561.860884481,271239809.747837,77355383.7460415,184670364.892,1.4687782195398,0.00658039225150421,0.982672297926676,0.0359640039199111,0.00479965032194554,0.000128070533004894,0.00141732661443686,0.00069561220117777,8.51976025127847e-05,0.00245596164435049,0.418883580975653,0.0133819259743215,0.00171419957430427
"ERCT",1728751.87003789,17989297.0111426,9485508.13866995,1331633.51828819,32923.2707954615,331098.315451875,178919.857106349,22087.3041180276,638427.682140496,3486776.70216509,461036.55267308,62877828.6399804,27191368.4173914,319089346.345,0.197053989298649,0.00541776743673781,0.0563769903859233,0.0297268092693205,0.00417323089454835,0.000103178846842053,0.00103763513023682,0.000560720247027302,6.92198105985864e-05,0.0020007803126408,0.0852155320409602,0.0109272739503975,0.00144485097341547
"FRCC",1396505.13976655,57727748.269681,7765138.32229283,1270206.84619226,24608.3840701813,245279.298090302,134008.120398111,17030.3819556684,497066.335163971,2737367.83137853,401850.084113313,79932803.0010017,7715993.98789902,218852490.382,0.365235976348643,0.00638103380651047,0.263774692117595,0.0354811512939105,0.00580394056277431,0.000112442787501427,0.00112075168832749,0.00061232166087854,7.78167153864342e-05,0.00227123910857198,0.0352565966895373,0.0125078212571424,0.00183616866050688
"HIMS",159488.168866224,2519145.6568732,1011163.91213209,380695.340894166,402.704374352676,1854.16051295477,2553.16826005262,961.247973210823,34158.0546642476,216563.977319806,81534.651486247,4508049.15116617,99528.1078096185,2847999.35,1.58288278793539,0.0560000720738312,0.884531682520643,0.355043589505064,0.133671147394807,0.000141399040120102,0.000651039654540219,0.000896477824003936,0.000337516921557873,0.0119937017065147,0.0349466750438754,0.0760407397283311,0.028628746522097
"HIOA",472675.038317072,1646469.31984581,2995495.10398454,1125820.09233181,1218.494179529,3641.97936669486,7699.22128292926,2859.06427041597,101468.972662224,642827.969136448,241274.156127628,7552697.60247138,311248.190966269,7356158.942,1.02671756578685,0.0642556858876897,0.22382187943837,0.407209132864403,0.153044557792782,0.000165642720492621,0.000495092533400953,0.00104663606967089,0.000388662655736289,0.0137937439174794,0.0423112378919924,0.0873863621225231,0.032798931892305
"MROE",75381.8795791458,1141717.5142885,449929.506798127,126883.51949155,732.424594552588,6587.69873946807,4077.65990375681,675.812141133163,21235.2262163688,123985.796723761,30512.7205085554,35725711.7099883,33743991.9510034,34993671.197,1.02091922590423,0.00215415750907576,0.0326264000099074,0.0128574536882743,0.00362589905978277,2.09302016478734e-05,0.000188254004627923,0.000116525639187762,1.93124104449807e-05,0.000606830477911941,0.964288421213042,0.00354309200728817,0.000871949683037864
"MROW",137736.286850132,2611678.35166081,803998.854242483,197533.250574639,1688.81199466545,15950.037970296,9307.09114150565,1378.05025065344,42092.3340164039,240529.566049445,50563.1854251214,162459823.322115,158347367.501939,208664904.484,0.778568028600001,0.000660083626380463,0.0125161361375989,0.00385306219189405,0.000946652965256,8.09341656586503e-06,7.64385271674616e-05,4.46030498732924e-05,6.6041304552923e-06,0.000201722154094348,0.758859607433799,0.00115270733544887,0.000242317631468297
