"zips_for_G","total.consumption","Biomass","Biogas","Oil","Coal","Natural.Gas","Geothermal","Uranium","Solar","Wind","EG.water.consumption.m3","Generation.y"
"AKGD",1293215.3688291,0,0,427483.152673325,24138.5584617853,840250.13010789,0,0,0,1343.52758609641,0,4780657.511
"AKMS",460368.030127438,0,0,406861.918156385,0,53204.4213206758,0,0,0,301.690650376949,0,1087544.12
"AZNM",100085497.078871,0,0,71423.7426103759,8375018.82920887,11676170.456667,79335579.5271609,433676.496044925,173539.955493901,20088.0716846775,728060549.4,149232739.475
"CAMX",198555005.607837,0,0,789668.524191176,723715.999077567,28031206.8253025,168523898.077594,227914.927646008,127824.617831533,130776.636194267,72684804.14,184670364.892
"ERCT",58754408.4559804,0,0,1746718.50888997,17221487.4853045,38893344.4168986,0,527152.144789075,2834.95493219834,362870.945166112,4123420.184,319089346.345
"FRCC",79932803.0010017,0,0,3125713.14125239,47710759.7156776,28711840.7286555,0,373931.647171097,10557.7682451386,0,0,218852490.382
"HIMS",4508049.15116617,0,0,2434292.58346695,0,0,2069320.25829612,0,167.059187532488,4269.25021556212,0,2847999.35
"HIOA",7552697.60247138,0,0,7192943.23167671,323445.034933826,34046.540390935,0,0,267.43635300731,1995.35911690366,0,7356158.942
"MROE",2165829.95998833,0,0,682862.834758651,606985.389136645,738266.639966042,0,126759.508453593,0,10955.5876733996,33559881.75,34993671.197
"MROW",5183107.22211548,0,0,945273.998305634,1442429.95621481,1826345.99641976,0,568251.749120881,29.3597883194734,400776.162266082,157276716.1,208664904.484
"NEWE",15908571.0721119,0,0,3361825.09719582,1472325.52478677,10554248.4489002,0,494294.259064826,3780.97266249436,22096.7695017881,-2004999.96,110725229.27
"NWPP",58722380.6422421,0,0,1371971.87617635,17851838.605962,9540869.52755757,29581216.6175712,127433.417761435,804.534006417946,248246.063207169,17801555.21,333447946.463
"NYCW",7038248.81172849,0,0,1133319.22904866,0,5672690.40022081,0,232239.182459023,0,0,0,41354107.55
"NYLI",3690232.54160494,0,0,1194713.40370709,0,2494781.04853412,0,0,738.089363726829,0,0,11295155.214
"NYUP",7627836.92978455,0,0,759406.269150662,1606781.88336065,4873396.58716084,0,345245.660938033,41.1125569569708,42965.4166174066,-29432228.78,84173696.202
"RFCE",48197961.8985158,0,0,3260499.42616008,23869692.1369844,19551181.5203044,0,1473675.00961722,7259.67633407247,35654.1291156195,-4432138.725,270961659.116
"RFCM",9493075.31313216,0,0,2313107.91253604,3240168.4935998,3716158.33274996,0,182790.371788146,0,40850.202458218,-15832709.61,84672448.457
"RFCW",204256280.709919,0,0,5892755.56105831,182944384.757406,13904152.3857754,0,1386367.74497634,2919.41395748438,125700.846746157,18162690.62,516570548.478
"RMPA",6899007.67719881,0,0,116874.793789465,3830325.06442341,2844019.55401396,0,0,2857.57170784501,104930.693264132,-3082715.246,84878731.633
"SPNO",1797128.61302857,0,0,128119.083701691,465663.882572315,993257.453183133,0,114979.57996166,0,95108.6136097726,0,58800557.172
"SPSO",29796720.1731219,0,0,4541445.4101309,12020293.5913396,12998543.3978201,0,0,1296.65573984774,235141.118091455,12002787.21,168938111.399
"SRMV",38056801.4019167,0,0,4202767.56702686,4157049.86131046,29132738.5662042,0,564181.287279551,64.1200955608853,0,9383870.171,206570890.547
"SRMW",8481597.32255589,0,0,249292.43904083,6684432.11362923,972688.65766009,0,497838.524162397,96.35720953549,77249.2308538155,7173579.682,192662169.866
"SRSO",69757802.0922594,0,0,1361776.5279883,46942902.5180833,20819924.3493158,0,631651.905695781,1546.79117635623,0,-20174129.47,258081971.271
"SRTV",250463758.340062,0,0,2094762.66266911,241007700.150088,6630292.97855935,0,730203.283019471,245.579744665448,553.685980989672,6676415.788,235787014.321
"SRVC",56110390.2351326,0,0,2730175.4038128,38712470.7516859,13001059.515707,0,1658624.62552974,8059.93839722351,0,58344068.88,297001250.325
