"zips_for_G","gwbr.wc","gwfr.wc","gwnro.wc","gwsa.wc","pdbr.wc","pdfr.wc","pdnro.wc","pdsa.wc","swbr.wc","swfr.wc","swnro.wc","swsa.wc","total.wci","gwbr.wci","gwfr.wci","gwsa.wci","pdfr.wci","swbr.wci","swfr.wci","swsa.wci"
"AKGD",62883.0423067557,455050.765332785,366818.861016579,89720.5166703749,775.748680494948,7334.70693687457,4274.15679383019,631.075628222958,19261.5054219325,153448.945845013,110001.567408363,23014.4767878708,0.880748889956084,0.0131536388377677,0.0951858116348518,0.0187674010246359,0.0015342464755105,0.00402904943046286,0.032097874715337,0.00481408189875889
"AKMS",28864.7850835326,97580.3567722823,180986.785978576,65076.45803925,111.949392679534,641.465449226779,668.979061731611,189.931664430037,6548.90962413217,24767.0745898003,40753.1792668322,14178.1552049645,0.42330975052988,0.0265412543295554,0.0897254235279046,0.0598379935512409,0.000589829357200496,0.00602174155852378,0.0227733975425294,0.0130368551898055
"AZNM",1387218.75793627,136856474.822709,2659492.95242892,328932.171036917,9808.96190639214,85674403.6152631,53238.4498619309,6451.96603014345,185306.44028074,768999166.229983,1006468.26233708,123236.297763107,6.80161289243166,0.00929567307292289,0.917067362725963,0.0022041555505454,0.574099248708194,0.00124172779332904,5.15301916278773,0.000825799339988339
"CAMX",1215203.43821777,190276938.039771,6641485.7268673,886353.176307688,23650.8320619267,20504026.2513135,128458.959014826,15733.4723439595,619886.492025429,93157878.4237515,2471245.15263568,10523557.7268167,2.05623171389243,0.00658039225150421,1.03035989640812,0.00479965032194554,0.111030409580361,0.00335671883459999,0.504454943153616,0.0569856334716786
"ERCT",1728751.87003789,30684149.9698021,9485508.13866995,1331633.51828819,32923.2707954615,34293124.072875,178919.857106349,22087.3041180276,1569287.63323297,270642760.854425,3486776.70216509,4907889.19791935,1.17150431350235,0.00541776743673781,0.0961616247025256,0.00417323089454835,0.107471855346111,0.00491801951775679,0.848172350329131,0.0153809246661997
"FRCC",1396505.13976655,64182139.6785791,7765138.32229283,2800203.64475532,24608.3840701813,49565043.2865346,134008.120398111,17030.3819556684,7675506.13953385,43819967.8760343,2737367.83137853,71852350.8144878,1.34579311567796,0.00638103380651047,0.293266663616901,0.0127949361685017,0.226476944356541,0.0350715960606,0.200226041748705,0.328314065282382
"HIMS",159488.168866224,2519145.6568732,1011163.91213209,380695.340894166,402.704374352676,1854.16051295477,2553.16826005262,961.247973210823,34158.0546642476,99528.1078096185,216563.977319806,81534.651486247,2.06203174381262,0.0560000720738312,0.884531682520643,0.133671147394807,0.000651039654540219,0.0119937017065147,0.0349466750438754,0.028628746522097
"HIOA",3191262.19895329,1646469.31984581,2995495.10398454,1125820.09233181,1218.494179529,3641.97936669486,7699.22128292926,2859.06427041597,101468.972662224,311248.190966269,642827.969136448,3079461.26149837,1.93567204054371,0.433821811643136,0.22382187943837,0.153044557792782,0.000495092533400953,0.0137937439174794,0.0423112378919924,0.41862353515993
"MROE",75381.8795791458,2647710.92009987,449929.506798127,126883.51949155,732.424594552588,6587.69873946807,4077.65990375681,675.812141133163,21235.2262163688,64833774.879141,123985.796723761,30512.7205085554,2.0475017550727,0.00215415750907576,0.0756625649590847,0.00362589905978277,0.000188254004627923,0.000606830477911941,1.8527285838103,0.000871949683037864
"MROW",137736.286850132,36444176.6531196,803998.854242483,197533.250574639,1688.81199466545,2966868.76678983,9307.09114150565,1378.05025065344,42092.3340164039,298159246.577841,240529.566049445,50563.1854251214,1.77003080713374,0.000660083626380463,0.174654078716501,0.000946652965256,0.0142183410004979,0.000201722154094348,1.42889024541596,0.000242317631468297
