"Plant.Code","Plant.Name","State","Latitude","Longitude","total.consumption"
3,"Barry","AL","31.006900000000002","-88.010300000000001",3676809606.144
7,"Gadsden","AL","34.012799999999999","-85.970799999999997",102461484.824779
26,"E C Gaston","AL","33.244211","-86.458055999999999",2367200098.016
51,"Dolet Hills","LA","32.030555999999997","-93.569166999999993",1066586077.96
56,"Charles R Lowman","AL","31.488019000000001","-87.910747000000001",2762739402.304
59,"Platte","NE","40.854765","-98.348222000000007",190577263.264
60,"Whelan Energy Center","NE","40.580871999999999","-98.312437000000003",1231821847.904
87,"Escalante","NM","35.415900000000001","-108.08199999999999",511293206.677
96,"Beluga","AK","61.186100000000003","-151.03559999999999",187577439
108,"Holcomb","KS","37.930799999999998","-100.9725",728603182.148
113,"Cholla","AZ","34.939399999999999","-110.30329999999999",57779785073.59
116,"Ocotillo","AZ","33.422499999999999","-111.9122",47071330
117,"West Phoenix","AZ","33.441699999999997","-112.1583",597154755
120,"Yucca","AZ","32.721400000000003","-114.7106",157764369
126,"H Wilson Sundt Generating Station","AZ","32.159999999999997","-110.90470000000001",2106765022.25
127,"Oklaunion","TX","34.082500000000003","-99.175299999999993",1183723896.832
130,"Cross","SC","33.371389000000001","-80.113332999999997",17505878472.448
136,"Seminole (FL)","FL","29.733056000000001","-81.632778000000002",6043203300.064
141,"Agua Fria","AZ","33.556100000000001","-112.2153",30336527.712
147,"Kyrene","AZ","33.355600000000003","-111.9353",84668739
160,"Apache Station","AZ","32.060299999999998","-109.8931",1933036557.118
165,"GREC","OK","36.190277999999999","-95.289400000000001",3434864217.746
170,"Lake Catherine","AR","34.434100000000001","-92.904899999999998",226541847
201,"Thomas Fitzhugh","AR","35.462381999999998","-93.804925999999995",5089630
202,"Carl Bailey","AR","35.260102000000003","-91.363426000000004",2608956
203,"McClellan (AR)","AR","33.564799999999998","-92.791700000000006",195757639.962
207,"St Johns River Power Park","FL","30.430800000000001","-81.550799999999995",5255440283.53
271,"Pittsburg Power","CA","38.039167999999997","-121.894469",24058715
286,"Geysers Unit 5-20","CA","38.777000000000001","-122.745",13172841.3370712
298,"Limestone","TX","31.421900000000001","-96.252499999999998",8813580120.64
299,"Blundell","UT","38.488900000000001","-112.8533",788917.645731586
302,"Encina","CA","33.136099999999999","-117.3364",2243443930
329,"Coolwater","CA","34.860599999999998","-116.8539",105783534
330,"El Segundo Power","CA","33.909804000000001","-118.424172",301067858
331,"Etiwanda Generating Station","CA","34.091180000000001","-117.52663",134804250
358,"Mountainview Generating Station","CA","34.081800000000001","-117.2418",3007725924.8
377,"Grayson","CA","34.1556","-118.2782",180955235.17287
384,"Joliet 29","IL","41.494636","-88.123827000000006",9903185351.784
389,"El Centro","CA","32.802222","-115.54",350471713
399,"Harbor","CA","33.785600000000002","-118.26439999999999",1448488.73355881
400,"Haynes","CA","33.764741000000001","-118.09913",870602166.190551
404,"Scattergood","CA","33.918151000000002","-118.427648",1050112.12839895
408,"Valley (CA)","CA","34.244990999999999","-118.391327",973257208
420,"Broadway (CA)","CA","34.125399999999999","-118.148",53970903
469,"Cherokee","CO","39.807274999999997","-104.96454799999999",6007418096.364
470,"Comanche (CO)","CO","38.208100000000002","-104.57470000000001",12229936927.17
477,"Valmont","CO","40.019500000000001","-105.202",2045889569.8
492,"Martin Drake","CO","38.824444","-104.833333",1286011304.28009
493,"George Birdsall","CO","38.881388999999999","-104.81694400000001",20061686.166
510,"Sonoma California Geothermal","CA","38.790300000000002","-122.7559",913069.269888592
525,"Hayden","CO","40.485599999999998","-107.185",3074509994.865
527,"Nucla","CO","38.238300000000002","-108.5069",406726813.078
533,"McWilliams","AL","31.400255000000001","-86.476449000000002",1010870853.748
550,"Kettle Falls Generating Station","WA","48.620336000000002","-118.111059",1707434.40292443
562,"Middletown","CT","41.554943999999999","-72.579075000000003",36351807.28
564,"Stanton Energy Center","FL","28.482199999999999","-81.1678",3467337261.02924
589,"J C McNeil","VT","44.491700000000002","-73.208055999999999",3719875.23816522
594,"Indian River Generating Station","DE","38.585700000000003","-75.234099999999998",1169873742.026
599,"McKee Run","DE","39.176222000000003","-75.546627999999998",53930596.115
602,"Brandon Shores","MD","39.18","-76.538899999999998",3502610774.816
609,"Cape Canaveral","FL","28.469799999999999","-80.764399999999995",4081226522.8
613,"Lauderdale","FL","26.0686","-80.198400000000007",4603063411.624
620,"Sanford","FL","28.841899999999999","-81.325599999999994",1437725900
621,"Turkey Point","FL","25.435600000000001","-80.330799999999996",972495586.36
628,"Crystal River","FL","28.965599999999998","-82.697699999999998",8655562372.032
641,"Crist","FL","30.566099999999999","-87.224400000000003",2548217642.318
642,"Scholz","FL","30.6692","-84.886899999999997",30814438
643,"Lansing Smith","FL","30.268599999999999","-85.700299999999999",848051714
663,"Deerhaven Generating Station","FL","29.7592","-82.387799999999999",346020100.582
664,"John R Kelly","FL","29.646100000000001","-82.320800000000006",61234618.11
673,"Tom G Smith","FL","26.612767000000002","-80.067700000000002",5560275
675,"Larsen Memorial","FL","28.079699999999999","-81.922799999999995",114940.506
676,"C D McIntosh Jr","FL","28.080100000000002","-81.922899999999998",391644740.756
688,"Arvah B Hopkins","FL","30.452200000000001","-84.4",194208590.518
689,"S O Purdom","FL","30.162303999999999","-84.200672999999995",150923700
693,"Vero Beach Municipal Power Plant","FL","27.633382000000001","-80.377550999999997",1399238
703,"Bowen","GA","34.125599999999999","-84.922200000000004",23515649202.88
709,"Harllee Branch","GA","33.195","-83.298299999999998",1235937843.376
710,"Jack McDonough","GA","33.823900000000002","-84.475800000000007",11209885872
715,"McManus","GA","31.213645","-81.546165000000002",2858690
728,"Yates","GA","33.462200000000003","-84.898600000000002",1833978926.549
753,"Crisp Plant","GA","31.844708000000001","-83.940734000000006",344353.762
764,"Honolulu","HI","21.306799999999999","-157.8819",1552556
772,"W H Hill","HI","19.7041","-155.0607",166236476
861,"Coffeen","IL","39.058599999999998","-89.403099999999995",10227946790.336
862,"Grand Tower Energy Center LLC","IL","37.657699999999998","-89.511161000000001",32173792
876,"Kincaid Generation LLC","IL","39.590555999999999","-89.496388999999994",6036113540.042
879,"Powerton","IL","40.540799999999997","-89.678600000000003",67945570946.6
883,"Waukegan","IL","42.383299999999998","-87.813299999999998",1350409312.8
884,"Will County","IL","41.633400000000002","-88.062899999999999",3966531229.182
889,"Baldwin Energy Complex","IL","38.204999999999998","-89.854399999999998",70104211113.897
891,"Havana","IL","40.279699999999998","-90.08",928320495.824
902,"Bottle Rock Power","CA","38.834800000000001","-122.7677",198156.044546001
963,"Dallman","IL","39.754803000000003","-89.602389000000002",14892128322.439
972,"Winnetka","IL","42.115589","-87.731025000000002",7223776
976,"Marion","IL","37.619746999999997","-88.953113999999999",6848008739.724
983,"Clifty Creek","IN","38.7378","-85.420599999999993",17714516862.624
990,"Harding Street","IN","39.711319000000003","-86.196866999999997",1390736189.8
992,"CC Perry K","IN","39.763100000000001","-86.166700000000006",1019081.09141185
994,"AES Petersburg","IN","38.528100000000002","-87.252499999999998",8291946289.056
997,"Michigan City","IN","41.720799999999997","-86.908600000000007",1007135808.391
1004,"Edwardsport","IN","38.806699999999999","-87.247200000000007",945114580
1008,"R Gallagher","IN","38.263599999999997","-85.838099999999997",873481253.948
1024,"Crawfordsville Power Plant","IN","40.048889000000003","-86.899199999999993",20812432
1032,"Logansport","IN","40.758857999999996","-86.360288999999995",111804486
1040,"Whitewater Valley","IN","39.802799999999998","-84.895300000000006",43959542
1043,"Frank E Ratts","IN","38.520099999999999","-87.266199999999998",584418509.896
1046,"Dubuque","IA","42.503100000000003","-90.658610999999993",27673926
1047,"Lansing","IA","43.335900000000002","-91.167500000000004",1292555230.292
1048,"Milton L Kapp","IA","41.808100000000003","-90.233610999999996",839053.411
1073,"Prairie Creek","IA","41.944038999999997","-91.639167",287920547.976562
1077,"Sutherland","IA","42.047333000000002","-92.859443999999996",19464434
1081,"Riverside","IA","41.54","-90.448099999999997",1057920898.68
1082,"Walter Scott Jr Energy Center","IA","41.18","-95.840800000000002",11864389081.26
1122,"Ames Electric Services Power Plant","IA","42.025799999999997","-93.608900000000006",190616380.960883
1131,"Streeter Station","IA","42.526699999999998","-92.439400000000006",14842781.476
1167,"Muscatine Plant #1","IA","41.3917","-91.056899999999999",586648975.408
1206,"Summit Lake","IA","41.113599999999998","-94.347200000000001",2219112
1217,"Earl F Wisdom","IA","43.160600000000002","-95.256900000000002",7638058.952
1230,"Cimarron River","KS","37.161099999999998","-100.7619",24674293
1233,"Fort Dodge","KS","37.732799999999997","-99.949700000000007",81586924
1235,"Great Bend - Sunflower","KS","38.409999999999997","-98.868899999999996",3947587
1240,"Gordon Evans Energy Center","KS","37.790300000000002","-97.521666999999994",438158000
1241,"La Cygne","KS","38.348100000000002","-94.645600000000002",30386909618.316
1242,"Murray Gill","KS","37.596699999999998","-97.413611000000003",297697540
1248,"Hutchinson Energy Center","KS","38.090600000000002","-97.874722000000006",10742496
1250,"Lawrence Energy Center","KS","39.007199999999997","-95.269166999999996",5369675255.109
1252,"Tecumseh Energy Center","KS","39.053899999999999","-95.568888999999999",1298493961.572
1271,"Coffeyville","KS","37.037343999999997","-95.612689000000003",23635542
1317,"Pratt","KS","37.635899999999999","-98.743300000000005",2209116
1330,"Wellington 1","KS","37.261372000000001","-97.405699999999996",66640
1336,"Garden City","KS","37.970300000000002","-100.8956",11669050
1353,"Big Sandy","KY","38.170699999999997","-82.617599999999996",4586052726.35
1355,"E W Brown","KY","37.788310000000003","-84.712569999999999",2910052414.368
1356,"Ghent","KY","38.749699999999997","-85.034999999999997",37112569375.872
1364,"Mill Creek (KY)","KY","38.052500000000002","-85.910300000000007",9615202532.919
1374,"Elmer Smith","KY","37.794199999999996","-87.0608",18194.4191247361
1378,"Paradise","KY","37.260800000000003","-86.978300000000004",14721487204.656
1382,"HMP&L Station Two Henderson","KY","37.646900000000002","-87.502799999999993",1694554637.248
1383,"Robert A Reid","KY","37.646099999999997","-87.501900000000006",97108773.026
1384,"Cooper","KY","36.998100000000001","-84.591899999999995",1002674557.078
1391,"Louisiana 1","LA","30.4922","-91.186400000000006",99289804.3670569
1393,"R S Nelson","LA","30.284400000000002","-93.2911",5762627732.526
1396,"Coughlin Power Station","LA","30.843900000000001","-92.261111",521958450
1400,"Teche","LA","29.822222","-91.542500000000004",182274047
1403,"Nine Mile Point","LA","29.947199999999999","-90.145799999999994",6617885953
1404,"Sterlington","LA","32.704700000000003","-92.0792",663481
1409,"Michoud","LA","30.008099999999999","-89.937200000000004",1668455684
1416,"Arsenal Hill","LA","32.518099999999997","-93.761099999999999",9753250
1417,"Lieberman","LA","32.704700000000003","-93.959699999999998",82309500
1439,"Houma","LA","29.5806","-90.722499999999997",35263389
1447,"Minden","LA","32.604638999999999","-93.294354999999996",679728
1449,"Morgan City","LA","29.691435999999999","-91.188491999999997",8553244
1455,"Plaquemine","LA","30.273333000000001","-91.256699999999995",1849260
1464,"Big Cajun 1","LA","30.6739","-91.355599999999995",13365988
1559,"Riverside (MD)","MD","39.236899999999999","-76.513300000000001",13841961
1564,"Vienna Operations","MD","38.4878","-75.820800000000006",5472528
1571,"Chalk Point LLC","MD","38.544400000000003","-76.686099999999996",2096534640.212
1595,"Kendall Square Station","MA","42.363300000000002","-71.0792",22477340.1553935
1619,"Brayton Point","MA","41.710299999999997","-71.193100000000001",3031112370.912
1660,"Potter Station 2","MA","42.234999999999999","-70.967200000000005",1007229.334
1682,"Cleary Flood","MA","41.865299999999998","-71.106099999999998",34569046.278
1695,"B C Cobb","MI","43.258768000000003","-86.242267999999996",1858016403.208
1702,"Dan E Karn","MI","43.644995999999999","-83.840074000000001",15864896.744
1710,"J H Campbell","MI","42.910296000000002","-86.200739999999996",12173313982.137
1720,"J C Weadock","MI","43.639927","-83.844712000000001",1666423389.754
1723,"J R Whiting","MI","41.792113999999998","-83.449479999999994",2657236054.716
1733,"Monroe (MI)","MI","41.890599999999999","-83.346400000000003",29794133132.232
1769,"Presque Isle","MI","46.578899999999997","-87.394999999999996",4592281456.837
1771,"Escanaba","MI","45.771667000000001","-87.063922000000005",23906132.9939604
1772,"John H Warden","MI","46.755299999999998","-88.455799999999996",822464.331759574
1825,"J B Sims","MI","43.070599999999999","-86.234999999999999",85206324.459
1830,"James De Young","MI","42.7956","-86.113299999999995",74858718
1832,"Erickson Station","MI","42.692222000000001","-84.657222000000004",344274671.264
1843,"Shiras","MI","46.530597999999998","-87.392206000000002",148023275.497
1866,"Wyandotte","MI","42.208100000000002","-83.145300000000006",196778726.720768
1888,"Fox Lake","MN","43.672800000000002","-94.707499999999996",2199120
1893,"Clay Boswell","MN","47.261099999999999","-93.652799999999999",5414770772.088
1897,"M L Hibbard","MN","46.735331000000002","-92.151711000000006",11602.1245974216
1904,"Black Dog","MN","44.8108","-93.250100000000003",5610652478.102
1926,"Red Wing","MN","44.569200000000002","-92.516912000000005",3693512.96015198
1927,"Riverside (MN)","MN","45.020299999999999","-93.275300000000001",506.48
1934,"Wilmarth","MN","44.1967","-94.000900000000001",3951976.58704348
1943,"Hoot Lake","MN","46.290641000000001","-96.043251999999995",214016287.632
1980,"Hutchinson Plant #1","MN","44.895741000000001","-94.368432999999996",1581370
2001,"New Ulm","MN","44.315899999999999","-94.458100000000002",143659.076982349
2018,"Virginia","MN","47.522427999999998","-92.540951000000007",704483.144832878
2022,"Willmar","MN","45.121704999999999","-95.053235999999998",422094.694208908
2039,"Elk River","MN","45.296796999999998","-93.558447000000001",6928558.10929246
2048,"Sweatt","MS","32.292499999999997","-88.746099999999998",10280886
2049,"Jack Watson","MS","30.4392","-89.028599999999997",1534684346.58951
2053,"Rex Brown","MS","32.356954000000002","-90.212969999999999",94182364
2059,"L L Wilkins","MS","34.1845","-90.562662000000003",23575
2062,"Henderson","MS","33.517315000000004","-90.209660999999997",10608255
2067,"Yazoo","MS","32.845799999999997","-90.421099999999996",193256
2070,"Moselle","MS","31.527999999999999","-89.300399999999996",435683849
2076,"Asbury","MO","37.361314999999998","-94.589259999999996",1028346434.5104
2080,"Montrose","MO","38.311399999999999","-93.934799999999996",6990809429.775
2094,"Sibley","MO","39.178319000000002","-94.184444999999997",327654.737954246
2098,"Lake Road (MO)","MO","39.724600000000002","-94.877300000000005",1225872232.43258
2123,"Columbia (MO)","MO","38.964646000000002","-92.316767999999996",84137800.8
2132,"Blue Valley","MO","39.091900000000003","-94.326099999999997",57793918.359
2236,"Fairbury","NE","40.133871999999997","-97.184286",85799
2240,"Lon Wright","NE","41.428100000000001","-96.462299999999999",174106537.752
2277,"Sheldon","NE","40.558900000000001","-96.784700000000001",926888774.694
2322,"Clark (NVE)","NV","36.087499999999999","-115.05070000000001",166308344
2324,"Reid Gardner","NV","36.657347000000001","-114.633263",3530523389.452
2330,"Fort Churchill","NV","39.128100000000003","-119.1322",113590100
2336,"Tracy","NV","39.5625","-119.52500000000001",557065925
2364,"Merrimack","NH","43.141100000000002","-71.469200000000001",4593347504.186
2367,"Schiller","NH","43.097799999999999","-70.784199999999998",3922868.28968131
2378,"B L England","NJ","39.290799999999997","-74.636399999999995",82851054.48
