"Plant.Code","Plant.Name","State","Latitude","Longitude","total.consumption","dcdc.consumption","gwbr.consumption","gwfr.consumption","gwsa.consumption","pdfr.consumption","swbr.consumption","swfr.consumption","swsa.consumption"
2,"Bankhead Dam","AL","33.458665000000003","-87.356823000000006",0,0,0,0,0,0,0,0,0
3,"Barry","AL","31.006900000000002","-88.010300000000001",10447879.2195993,0,0,0,0,6362409.57406538,0,4085469.64553397,0
4,"Walter Bouldin Dam","AL","32.583888999999999","-86.283056000000002",0,0,0,0,0,0,0,0,0
7,"Gadsden","AL","34.012799999999999","-85.970799999999997",196242.810528735,0,0,0,0,0,0,196242.810528735,0
8,"Gorgas","AL","33.644343999999997","-87.196485999999993",4055612.28887779,0,0,0,0,0,0,4055612.28887779,0
9,"Copper","TX","31.756900000000002","-106.375",0,0,0,0,0,0,0,0,0
10,"Greene County","AL","32.601700000000001","-87.781099999999995",2134917.09745923,0,0,0,0,0,0,2134917.09745923,0
11,"H Neely Henry Dam","AL","33.784500000000001","-86.052400000000006",0,0,0,0,0,0,0,0,0
12,"Holt Dam","AL","33.255299999999998","-87.4495",0,0,0,0,0,0,0,0,0
13,"Jordan Dam","AL","32.618899999999996","-86.254800000000003",0,0,0,0,0,0,0,0,0
14,"Logan Martin Dam","AL","33.425877999999997","-86.337547000000001",0,0,0,0,0,0,0,0,0
15,"Lay Dam","AL","32.963299999999997","-86.518699999999995",0,0,0,0,0,0,0,0,0
16,"Martin Dam","AL","32.680394","-85.911441999999994",0,0,0,0,0,0,0,0,0
17,"Mitchell Dam","AL","32.806024999999998","-86.444891999999996",0,0,0,0,0,0,0,0,0
18,"Lewis Smith Dam","AL","33.940600000000003","-87.107699999999994",0,0,0,0,0,0,0,0,0
19,"Thurlow Dam","AL","32.535435999999997","-85.887613999999999",0,0,0,0,0,0,0,0,0
20,"Weiss Dam","AL","34.172142000000001","-85.753805999999997",0,0,0,0,0,0,0,0,0
21,"Yates Dam","AL","32.574300000000001","-85.890100000000004",0,0,0,0,0,0,0,0,0
26,"E C Gaston","AL","33.244211","-86.458055999999999",8441189.51697263,0,0,0,0,0,0,8441189.51697263,0
30,"Madelia","MN","44.052500000000002","-94.415300000000002",0,0,0,0,0,0,0,0,0
34,"Rollins","CA","39.134259","-120.95334099999999",0,0,0,0,0,0,0,0,0
38,"Millers Ferry","AL","32.100881000000001","-87.399766999999997",0,0,0,0,0,0,0,0,0
46,"Browns Ferry","AL","34.7042","-87.118899999999996",36741225.0352043,0,0,0,0,0,0,36741225.0352043,0
47,"Colbert","AL","34.743899999999996","-87.848600000000005",2790903.95286246,0,0,0,0,0,0,2790903.95286246,0
48,"Guntersville","AL","34.421272000000002","-86.393930999999995",0,0,0,0,0,0,0,0,0
49,"Wheeler Dam","AL","34.806899999999999","-87.381900000000002",0,0,0,0,0,0,0,0,0
50,"Widows Creek","AL","34.883021999999997","-85.755252999999996",2867531.85796749,0,0,0,0,0,0,2867531.85796749,0
51,"Dolet Hills","LA","32.030555999999997","-93.569166999999993",5356675.04709053,0,0,0,0,0,0,5356675.04709053,0
53,"Gantt","AL","31.403300000000002","-86.479468999999995",0,0,0,0,0,0,0,0,0
54,"J K Smith","KY","37.883299999999998","-84.101699999999994",0,0,0,0,0,0,0,0,0
55,"Point A","AL","31.361146000000002","-86.518306999999993",0,0,0,0,0,0,0,0,0
56,"Charles R Lowman","AL","31.488019000000001","-87.910747000000001",2463360.79116371,0,0,0,0,0,0,2463360.79116371,0
59,"Platte","NE","40.854765","-98.348222000000007",964986.472020889,0,0,964986.472020889,0,0,0,0,0
60,"Whelan Energy Center","NE","40.580871999999999","-98.312437000000003",3086869.6881494,0,0,3086869.6881494,0,0,0,0,0
62,"Annex Creek","AK","58.317599999999999","-134.101",0,0,0,0,0,0,0,0,0
63,"Gold Creek","AK","58.310699999999997","-134.41739999999999",0,0,0,0,0,0,0,0,0
64,"Lemon Creek","AK","58.3536","-134.49529999999999",0,0,0,0,0,0,0,0,0
65,"Salmon Creek 1","AK","58.326900000000002","-134.4631",0,0,0,0,0,0,0,0,0
66,"Skagway","AK","59.454500000000003","-135.31309999999999",0,0,0,0,0,0,0,0,0
69,"Haines","AK","59.235799999999998","-135.44499999999999",0,0,0,0,0,0,0,0,0
70,"Swan Lake","AK","55.613892","-131.35417000000001",0,0,0,0,0,0,0,0,0
71,"Terror Lake","AK","57.686100000000003","-152.89500000000001",0,0,0,0,0,0,0,0,0
75,"Anchorage 1","AK","61.222099999999998","-149.86609999999999",0,0,0,0,0,0,0,0,0
77,"Eklutna Hydro Project","AK","61.475211000000002","-149.15009000000001",0,0,0,0,0,0,0,0,0
78,"Snettisham","AK","58.141500000000001","-133.73699999999999",0,0,0,0,0,0,0,0,0
79,"Aurora Energy LLC Chena","AK","64.847742999999994","-147.735063",147542.691882561,0,0,0,0,0,0,0,0
84,"Ketchikan","AK","55.344641000000003","-131.63342499999999",0,0,0,0,0,0,0,0,0
85,"S W Bailey","AK","55.363300000000002","-131.67779999999999",0,0,0,0,0,0,0,0,0
87,"Escalante","NM","35.415900000000001","-108.08199999999999",2564748.36459958,0,0,2564748.36459958,0,0,0,0,0
88,"Ashokan","NY","41.948999999999998","-74.206299999999999",0,0,0,0,0,0,0,0,0
90,"Snake River","AK","64.505923999999993","-165.429384",0,0,0,0,0,0,0,0,0
91,"Petersburg","AK","56.811039999999998","-132.95709099999999",0,0,0,0,0,0,0,0,0
92,"Seward (AK)","AK","60.1083","-149.4417",0,0,0,0,0,0,0,0,0
93,"Riley#03a","AK","57.051600000000001","-135.22970000000001",0,0,0,0,0,0,0,0,0
95,"Wrangell","AK","56.452199999999998","-132.3683",0,0,0,0,0,0,0,0,0
96,"Beluga","AK","61.186100000000003","-151.03559999999999",838644.394561119,0,0,0,0,0,0,0,0
99,"Frederickson","WA","47.079721999999997","-122.36499999999999",0,0,0,0,0,0,0,0,0
104,"J S Eastwood","CA","37.147925999999998","-119.2567",0,0,0,0,0,0,0,0,0
