"Plant.Code","Plant.Name","State","Latitude","Longitude","DC","HB","ON","PN","RC","RT","NA"
2,"Bankhead Dam","AL","33.458665000000003","-87.356823000000006",0,0,0,0,0,0,47391
3,"Barry","AL","31.006900000000002","-88.010300000000001",0,0,5235542.968,0,7745486,0,0
4,"Walter Bouldin Dam","AL","32.583888999999999","-86.283056000000002",0,0,0,0,0,0,590121
7,"Gadsden","AL","34.012799999999999","-85.970799999999997",0,0,216750.001,0,0,0,0
8,"Gorgas","AL","33.644343999999997","-87.196485999999993",0,0,5247433.018,0,0,0,0
9,"Copper","TX","31.756900000000002","-106.375",0,0,0,0,0,0,39856
10,"Greene County","AL","32.601700000000001","-87.781099999999995",0,0,2756619.032,0,0,0,101305
11,"H Neely Henry Dam","AL","33.784500000000001","-86.052400000000006",0,0,0,0,0,0,198568
12,"Holt Dam","AL","33.255299999999998","-87.4495",0,0,0,0,0,0,72223
13,"Jordan Dam","AL","32.618899999999996","-86.254800000000003",0,0,0,0,0,0,294067
14,"Logan Martin Dam","AL","33.425877999999997","-86.337547000000001",0,0,0,0,0,0,346035
15,"Lay Dam","AL","32.963299999999997","-86.518699999999995",0,0,0,0,0,0,561938
16,"Martin Dam","AL","32.680394","-85.911441999999994",0,0,0,0,0,0,348048
17,"Mitchell Dam","AL","32.806024999999998","-86.444891999999996",0,0,0,0,0,0,466344
18,"Lewis Smith Dam","AL","33.940600000000003","-87.107699999999994",0,0,0,0,0,0,243605
19,"Thurlow Dam","AL","32.535435999999997","-85.887613999999999",0,0,0,0,0,0,228345
20,"Weiss Dam","AL","34.172142000000001","-85.753805999999997",0,0,0,0,0,0,209892
21,"Yates Dam","AL","32.574300000000001","-85.890100000000004",0,0,0,0,0,0,138401
26,"E C Gaston","AL","33.244211","-86.458055999999999",0,0,3216304.481,0,3216304.481,0,152
30,"Madelia","MN","44.052500000000002","-94.415300000000002",0,0,0,0,0,0,-140
34,"Rollins","CA","39.134259","-120.95334099999999",0,0,0,0,0,0,27008
38,"Millers Ferry","AL","32.100881000000001","-87.399766999999997",0,0,0,0,0,0,356205
46,"Browns Ferry","AL","34.7042","-87.118899999999996",0,0,26738300,0,0,0,0
47,"Colbert","AL","34.743899999999996","-87.848600000000005",0,0,3588287.031,0,0,0,6494
48,"Guntersville","AL","34.421272000000002","-86.393930999999995",0,0,0,0,0,0,713367
49,"Wheeler Dam","AL","34.806899999999999","-87.381900000000002",0,0,0,0,0,0,1247298
50,"Widows Creek","AL","34.883021999999997","-85.755252999999996",0,0,3705847.958,0,0,0,0
51,"Dolet Hills","LA","32.030555999999997","-93.569166999999993",0,0,0,0,2899536.98,0,0
53,"Gantt","AL","31.403300000000002","-86.479468999999995",0,0,0,0,0,0,6932
54,"J K Smith","KY","37.883299999999998","-84.101699999999994",0,0,0,0,0,0,472048.999
55,"Point A","AL","31.361146000000002","-86.518306999999993",0,0,0,0,0,0,7764
56,"Charles R Lowman","AL","31.488019000000001","-87.910747000000001",0,0,938430.5035,0,938430.5035,0,0
59,"Platte","NE","40.854765","-98.348222000000007",0,0,0,0,517872.998,0,0
60,"Whelan Energy Center","NE","40.580871999999999","-98.312437000000003",0,0,0,0,1673670.989,0,0
62,"Annex Creek","AK","58.317599999999999","-134.101",0,0,0,0,0,0,27380
63,"Gold Creek","AK","58.310699999999997","-134.41739999999999",0,0,0,0,0,0,5652
64,"Lemon Creek","AK","58.3536","-134.49529999999999",0,0,0,0,0,0,181
65,"Salmon Creek 1","AK","58.326900000000002","-134.4631",0,0,0,0,0,0,22116
66,"Skagway","AK","59.454500000000003","-135.31309999999999",0,0,0,0,0,0,3002
69,"Haines","AK","59.235799999999998","-135.44499999999999",0,0,0,0,0,0,-122
70,"Swan Lake","AK","55.613892","-131.35417000000001",0,0,0,0,0,0,66187
71,"Terror Lake","AK","57.686100000000003","-152.89500000000001",0,0,0,0,0,0,134031
72,"Venice Hydro","CA","34.01135","-118.41679999999999",0,0,0,0,0,0,0
75,"Anchorage 1","AK","61.222099999999998","-149.86609999999999",0,0,0,0,0,0,33642
77,"Eklutna Hydro Project","AK","61.475211000000002","-149.15009000000001",0,0,0,0,0,0,83110
