"Plant.Id","total.gen","Plant.Name","State","Latitude","Longitude"
2,47391,"Bankhead Dam","AL","33.458665000000003","-87.356823000000006"
3,12981028.968,"Barry","AL","31.006900000000002","-88.010300000000001"
4,590121,"Walter Bouldin Dam","AL","32.583888999999999","-86.283056000000002"
7,216750.001,"Gadsden","AL","34.012799999999999","-85.970799999999997"
8,5247433.018,"Gorgas","AL","33.644343999999997","-87.196485999999993"
9,39856,"Copper","TX","31.756900000000002","-106.375"
10,2857924.032,"Greene County","AL","32.601700000000001","-87.781099999999995"
11,198568,"H Neely Henry Dam","AL","33.784500000000001","-86.052400000000006"
12,72223,"Holt Dam","AL","33.255299999999998","-87.4495"
13,294067,"Jordan Dam","AL","32.618899999999996","-86.254800000000003"
14,346035,"Logan Martin Dam","AL","33.425877999999997","-86.337547000000001"
15,561938,"Lay Dam","AL","32.963299999999997","-86.518699999999995"
16,348048,"Martin Dam","AL","32.680394","-85.911441999999994"
17,466344,"Mitchell Dam","AL","32.806024999999998","-86.444891999999996"
18,243605,"Lewis Smith Dam","AL","33.940600000000003","-87.107699999999994"
19,228345,"Thurlow Dam","AL","32.535435999999997","-85.887613999999999"
20,209892,"Weiss Dam","AL","34.172142000000001","-85.753805999999997"
21,138401,"Yates Dam","AL","32.574300000000001","-85.890100000000004"
26,6432760.962,"E C Gaston","AL","33.244211","-86.458055999999999"
30,-140,"Madelia","MN","44.052500000000002","-94.415300000000002"
34,27008,"Rollins","CA","39.134259","-120.95334099999999"
38,356205,"Millers Ferry","AL","32.100881000000001","-87.399766999999997"
46,26738300,"Browns Ferry","AL","34.7042","-87.118899999999996"
47,3594781.031,"Colbert","AL","34.743899999999996","-87.848600000000005"
48,713367,"Guntersville","AL","34.421272000000002","-86.393930999999995"
49,1247298,"Wheeler Dam","AL","34.806899999999999","-87.381900000000002"
50,3705847.958,"Widows Creek","AL","34.883021999999997","-85.755252999999996"
51,2899536.98,"Dolet Hills","LA","32.030555999999997","-93.569166999999993"
53,6932,"Gantt","AL","31.403300000000002","-86.479468999999995"
54,472048.999,"J K Smith","KY","37.883299999999998","-84.101699999999994"
55,7764,"Point A","AL","31.361146000000002","-86.518306999999993"
56,1876861.007,"Charles R Lowman","AL","31.488019000000001","-87.910747000000001"
59,517872.998,"Platte","NE","40.854765","-98.348222000000007"
60,1673670.989,"Whelan Energy Center","NE","40.580871999999999","-98.312437000000003"
62,27380,"Annex Creek","AK","58.317599999999999","-134.101"
63,5652,"Gold Creek","AK","58.310699999999997","-134.41739999999999"
64,181,"Lemon Creek","AK","58.3536","-134.49529999999999"
65,22116,"Salmon Creek 1","AK","58.326900000000002","-134.4631"
66,3002,"Skagway","AK","59.454500000000003","-135.31309999999999"
69,-122,"Haines","AK","59.235799999999998","-135.44499999999999"
70,66187,"Swan Lake","AK","55.613892","-131.35417000000001"
71,134031,"Terror Lake","AK","57.686100000000003","-152.89500000000001"
72,0,"Venice Hydro","CA","34.01135","-118.41679999999999"
75,33642,"Anchorage 1","AK","61.222099999999998","-149.86609999999999"
77,83110,"Eklutna Hydro Project","AK","61.475211000000002","-149.15009000000001"
78,285599,"Snettisham","AK","58.141500000000001","-133.73699999999999"
79,191062,"Aurora Energy LLC Chena","AK","64.847742999999994","-147.735063"
84,24429,"Ketchikan","AK","55.344641000000003","-131.63342499999999"
85,-262902,"S W Bailey","AK","55.363300000000002","-131.67779999999999"
87,1389686.981,"Escalante","NM","35.415900000000001","-108.08199999999999"
88,7924,"Ashokan","NY","41.948999999999998","-74.206299999999999"
90,30342,"Snake River","AK","64.505923999999993","-165.429384"
91,13840.06,"Petersburg","AK","56.811039999999998","-132.95709099999999"
92,49,"Seward (AK)","AK","60.1083","-149.4417"
93,40707,"Riley#03a","AK","57.051600000000001","-135.22970000000001"
95,673,"Wrangell","AK","56.452199999999998","-132.3683"
96,1216481,"Beluga","AK","61.186100000000003","-151.03559999999999"
99,14220,"Frederickson","WA","47.079721999999997","-122.36499999999999"
100,0,"South Consolidated","AZ","33.466476999999998","-111.781064"
104,78290,"J S Eastwood","CA","37.147925999999998","-119.2567"
108,1981862.044,"Holcomb","KS","37.930799999999998","-100.9725"
109,18459,"Dillingham","AK","59.6708","-157.88999999999999"
113,6630104.983,"Cholla","AZ","34.939399999999999","-110.30329999999999"
114,289,"Douglas","AZ","31.364121999999998","-109.5538"
116,76289,"Ocotillo","AZ","33.422499999999999","-111.9122"
117,1605461,"West Phoenix","AZ","33.441699999999997","-112.1583"
118,10972,"Saguaro","AZ","32.551699999999997","-111.3"
120,347465.998,"Yucca","AZ","32.721400000000003","-114.7106"
124,5566,"Demoss Petrie","AZ","32.252273000000002","-110.992148"
126,842819,"H Wilson Sundt Generating Station","AZ","32.159999999999997","-110.90470000000001"
127,3216641.024,"Oklaunion","TX","34.082500000000003","-99.175299999999993"
130,11892580.484,"Cross","SC","33.371389000000001","-80.113332999999997"
136,8210874.049,"Seminole (FL)","FL","29.733056000000001","-81.632778000000002"
141,12617,"Agua Fria","AZ","33.556100000000001","-112.2153"
145,15396,"Horse Mesa","AZ","33.590699999999998","-111.34399999999999"
147,702189,"Kyrene","AZ","33.355600000000003","-111.9353"
148,5195,"Mormon Flat","AZ","33.553600000000003","-111.4431"
149,37940,"Roosevelt","AZ","33.671104","-111.16178600000001"
150,18341,"Stewart Mountain","AZ","33.566099999999999","-111.536"
151,3400,"McClure","CA","37.629359999999998","-120.93138999999999"
152,1162920,"Davis Dam","AZ","35.197043999999998","-114.570669"
153,3344619,"Glen Canyon Dam","AZ","36.936613999999999","-111.48387200000001"
154,2352308,"Hoover Dam (NV)","NV","36.015509999999999","-114.738006"
159,3744,"Lake Creek Dam","UT","40.493631000000001","-111.312506"
160,2638027.018,"Apache Station","AZ","32.060299999999998","-109.8931"
161,-59,"Turlock Lake","CA","37.611460999999998","-120.594678"
162,2857,"Hickman","CA","37.621535999999999","-120.746247"
165,4674600.041,"GREC","OK","36.190277999999999","-95.289400000000001"
