"Plant.Code","Plant.Name","State","Latitude","Longitude","Hydropower","Solar","Solar.Thermal","Wind","Geothermal","Solid.Biomass.RDF","Biogas","Oil","Natural.Gas","Uranium","Lignite.Coal.gfc","Ligite.Coal.ngp","Bituminous.Coal.avg","Bituminous.Coal.app","Bituminous.Coal.int","Bituminous.Coal.rmr","Subbituminous.Coal.avg","Subbituminous.Coal.ngp","Subbituminous.Coal.rmr","total.wc"
2,"Bankhead Dam","AL","33.458665000000003","-87.356823000000006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Barry","AL","31.006900000000002","-88.010300000000001",0,0,0,0,0,0,0,0,1895427.49211153,0,0,0,6038217.56286131,0,0,0,0,0,0,7933645.05497284
4,"Walter Bouldin Dam","AL","32.583888999999999","-86.283056000000002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Gadsden","AL","34.012799999999999","-85.970799999999997",0,0,0,0,0,1233.51429936397,0,0,34590.202847344,0,0,0,0,544106.385627314,0,0,0,0,0,579930.102774022
8,"Gorgas","AL","33.644343999999997","-87.196485999999993",0,0,0,0,0,0,0,10055.8017910233,0,0,0,0,236854.851261025,7836207.08378737,1772033.5852324,0,0,0,0,9855151.32207181
9,"Copper","TX","31.756900000000002","-106.375",0,0,0,0,0,0,0,0,22049.8423678976,0,0,0,0,0,0,0,0,0,0,22049.8423678976
10,"Greene County","AL","32.601700000000001","-87.781099999999995",0,0,0,0,0,0,0,20415.7027179514,46615.2194979057,0,0,0,131687.34269682,5327242.59727188,0,0,0,65362.4903342958,0,5591323.35251885
11,"H Neely Henry Dam","AL","33.784500000000001","-86.052400000000006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Holt Dam","AL","33.255299999999998","-87.4495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Jordan Dam","AL","32.618899999999996","-86.254800000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Logan Martin Dam","AL","33.425877999999997","-86.337547000000001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Lay Dam","AL","32.963299999999997","-86.518699999999995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Martin Dam","AL","32.680394","-85.911441999999994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Mitchell Dam","AL","32.806024999999998","-86.444891999999996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Lewis Smith Dam","AL","33.940600000000003","-87.107699999999994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Thurlow Dam","AL","32.535435999999997","-85.887613999999999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Weiss Dam","AL","34.172142000000001","-85.753805999999997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Yates Dam","AL","32.574300000000001","-85.890100000000004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"E C Gaston","AL","33.244211","-86.458055999999999",0,0,0,0,0,0,0,27178.3662911223,0,0,0,0,0,2994718.64900709,6824918.05843566,251145.453380026,0,0,0,10097960.5271139
30,"Madelia","MN","44.052500000000002","-94.415300000000002",0,0,0,0,0,0,0,96.7719595716144,0,0,0,0,0,0,0,0,0,0,0,96.7719595716144
34,"Rollins","CA","39.134259","-120.95334099999999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Millers Ferry","AL","32.100881000000001","-87.399766999999997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Browns Ferry","AL","34.7042","-87.118899999999996",0,0,0,0,0,0,0,0,0,2136744.74853686,0,0,0,0,0,0,0,0,0,2136744.74853686
47,"Colbert","AL","34.743899999999996","-87.848600000000005",0,0,0,0,0,0,0,14725.2416131815,2227.62618280653,0,0,0,0,0,572117.342333492,1790279.80120951,0,389833.980878927,0,2769183.99221791
48,"Guntersville","AL","34.421272000000002","-86.393930999999995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Wheeler Dam","AL","34.806899999999999","-87.381900000000002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"Widows Creek","AL","34.883021999999997","-85.755252999999996",0,0,0,0,0,0,0,3858.3481490555,0,0,0,0,0,0,6675688.69943549,0,0,2321.84564717826,0,6681868.89323172
51,"Dolet Hills","LA","32.030555999999997","-93.569166999999993",0,0,0,0,0,0,0,0,4001.29607692348,0,4441405.36124636,0,0,0,0,0,0,0,0,4445406.65732328
53,"Gantt","AL","31.403300000000002","-86.479468999999995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"J K Smith","KY","37.883299999999998","-84.101699999999994",0,0,0,0,0,0,0,238.363601614146,194808.973984493,0,0,0,0,0,0,0,0,0,0,195047.337586108
55,"Point A","AL","31.361146000000002","-86.518306999999993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Charles R Lowman","AL","31.488019000000001","-87.910747000000001",0,0,0,0,0,0,0,8926.92411123968,0,0,0,0,0,0,0,0,0,0,0,8926.92411123968
59,"Platte","NE","40.854765","-98.348222000000007",0,0,0,0,0,0,0,27113.9801666265,0,0,0,0,0,0,0,0,0,218617.164846447,0,245731.145013074
60,"Whelan Energy Center","NE","40.580871999999999","-98.312437000000003",0,0,0,0,0,0,0,2890.14662126978,0,0,0,0,0,0,0,0,0,651297.611769097,0,654187.758390366
62,"Annex Creek","AK","58.317599999999999","-134.101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"Gold Creek","AK","58.310699999999997","-134.41739999999999",0,0,0,0,0,0,0,21.9761023728367,0,0,0,0,0,0,0,0,0,0,0,21.9761023728367
64,"Lemon Creek","AK","58.3536","-134.49529999999999",0,0,0,0,0,0,0,234.026212987928,0,0,0,0,0,0,0,0,0,0,0,234.026212987928
65,"Salmon Creek 1","AK","58.326900000000002","-134.4631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"Skagway","AK","59.454500000000003","-135.31309999999999",0,0,0,0,0,0,0,54.3619374485961,0,0,0,0,0,0,0,0,0,0,0,54.3619374485961
69,"Haines","AK","59.235799999999998","-135.44499999999999",0,0,0,0,0,0,0,207.230789919294,0,0,0,0,0,0,0,0,0,0,0,207.230789919294
70,"Swan Lake","AK","55.613892","-131.35417000000001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"Terror Lake","AK","57.686100000000003","-152.89500000000001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"Venice Hydro","CA","34.01135","-118.41679999999999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"Anchorage 1","AK","61.222099999999998","-149.86609999999999",0,0,0,0,0,0,0,64.289738081939,14646.6336870411,0,0,0,0,0,0,0,0,0,0,14710.9234251231
77,"Eklutna Hydro Project","AK","61.475211000000002","-149.15009000000001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"Snettisham","AK","58.141500000000001","-133.73699999999999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"Aurora Energy LLC Chena","AK","64.847742999999994","-147.735063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"Ketchikan","AK","55.344641000000003","-131.63342499999999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"S W Bailey","AK","55.363300000000002","-131.67779999999999",0,0,0,0,0,0,0,1585.74928174522,0,0,0,0,0,0,0,0,0,0,0,1585.74928174522
87,"Escalante","NM","35.415900000000001","-108.08199999999999",0,0,0,0,0,0,0,0,1231.88168084613,0,0,0,0,0,0,0,0,0,1105122.56562602,1106354.44730686
88,"Ashokan","NY","41.948999999999998","-74.206299999999999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"Snake River","AK","64.505923999999993","-165.429384",0,0,0,0,0,0,0,26082.5491513119,0,0,0,0,0,0,0,0,0,0,0,26082.5491513119
91,"Petersburg","AK","56.811039999999998","-132.95709099999999",0,0,0,0,0,0,0,743.621183361559,0,0,0,0,0,0,0,0,0,0,0,743.621183361559
92,"Seward (AK)","AK","60.1083","-149.4417",0,0,0,0,0,0,0,109.398579794604,0,0,0,0,0,0,0,0,0,0,0,109.398579794604
93,"Riley#03a","AK","57.051600000000001","-135.22970000000001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"Wrangell","AK","56.452199999999998","-132.3683",0,0,0,0,0,0,0,897.839445627079,0,0,0,0,0,0,0,0,0,0,0,897.839445627079
96,"Beluga","AK","61.186100000000003","-151.03559999999999",0,0,0,0,0,0,0,0,438626.19802579,0,0,0,0,0,0,0,0,0,0,438626.19802579
99,"Frederickson","WA","47.079721999999997","-122.36499999999999",0,0,0,0,0,0,0,500.438261051615,15408.0355714122,0,0,0,0,0,0,0,0,0,0,15908.4738324638
100,"South Consolidated","AZ","33.466476999999998","-111.781064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"J S Eastwood","CA","37.147925999999998","-119.2567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"Holcomb","KS","37.930799999999998","-100.9725",0,0,0,0,0,0,0,0,5176.49670852173,0,0,0,0,0,0,0,0,826085.58480903,0,831262.081517552
109,"Dillingham","AK","59.6708","-157.88999999999999",0,0,0,0,0,0,0,17119.3837484398,0,0,0,0,0,0,0,0,0,0,0,17119.3837484398
112,"Childs","AZ","34.351111000000003","-111.70055600000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"Cholla","AZ","34.939399999999999","-110.30329999999999",0,0,0,0,0,0,0,15558.405775071,90.1682402312476,0,0,0,0,0,0,0,0,0,5148030.57690785,5163679.15092316
114,"Douglas","AZ","31.364121999999998","-109.5538",0,0,0,0,0,0,0,533.595187438702,0,0,0,0,0,0,0,0,0,0,0,533.595187438702
115,"Irving","AZ","34.402222000000002","-111.617222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"Ocotillo","AZ","33.422499999999999","-111.9122",0,0.686832147820765,0,0,0,0,0,0,31893.2480960638,0,0,0,0,0,0,0,0,0,0,31893.9349282116
